Comment,Sentiment,Sentiment_Type
thank much alex give free im excit learn friend good luck us futur data analyst,0.433333333,Positive
ive unemploy coupl month due knee injuri struggl find job im passion might,-0.125,Negative
 im go devot next two week finish cours land job wish luck thank,0,Neutral
im search learn data analyst free googl brought thank alex god bless,0.4,Positive
bless good sir tech alway heart thank free resourc someon whose hungri knowledg path,0.55,Positive
sir one best homosapien aliv planet earth look data analyst bootcamp playlist gem peopl like hunger learn cant afford learn afford laptop use sister worn laptop work fine thank amaz thank,0.708333333,Positive
thank alex,0,Neutral
thank much,0.2,Positive
alex bless let talk fluent need write book came across hope complet learn journey,0,Neutral
super special thank,0.345238095,Positive
thank,0,Neutral
happi discov channel bootcamp life saver thank free cours may god bless,0.4,Positive
hello alex im brazil id like know boot camp ideal suppli chain analyt,0.9,Positive
cours enough get internship,0,Neutral
thank much alex gift tri best complet stay bless,0.6,Positive
hi sir new student wan na say even aint start yet cours want thank kind video,0.178787879,Positive
man gem thank creat rout peopl problem decid ill back year,-0.25,Negative
seem like sql video chang mysql one learn,0,Neutral
thank saint alex your hero,0,Neutral
kaleab ethiopia data realm youv guid star wisdom shine bright near far grate mentorship beyond compar thank knowledg gracious share god bless,0.3,Positive
come im come across channel bless human,0,Neutral
amaz cuz encount cours charg teach select statement sql,0,Neutral
could put short piec final url hidden spot alway differ time video,-0.055555556,Negative
sirwher get registir cours,0,Neutral
bunch cours pile togeth haha yeah good joke,0.45,Positive
start master data analyt septemb bet get go bootcamp thank alex awesom video,0,Neutral
thank much alex help god bless question though start boot camp need certif like googl certif coursera anyth like background im tri say data analyst need intro start boot camp one,0.2,Positive
thank much free materi enough word express grate feel get promis,0.2,Positive
thank valuabl content great hardwork,0.8,Positive
hi thank much current look switch data analyt straightforward help look forward learn content,0.1875,Positive
thank,0,Neutral
gold alex start journey today feel lucki come across playlist,0,Neutral
thank much video sir data analyst video,0.2,Positive
start new journey sincer love thank alex,0.318181818,Positive
thankyou much great cours,0.8,Positive
product alex recommend everi thank alex,0,Neutral
great content look like walter white,0.4,Positive
im appli new posit work although learn job feel like god answer prayer hadnt even made yet find thank hard work,-0.077651515,Negative
today start today ill tri consist learn cours updat progress,-0.5,Negative
bege today want remot job travel around,0,Neutral
hero look good inform weekend came across thank sir gentleman scholar,0.7,Positive
im grate alex think get cours right free god bless,0.342857143,Positive
download whole video find difficult watch refus play,-0.15,Negative
help lot thank,0,Neutral
join bootcamp today hope complet improv career thank much enlighten us bootcamp,0.2,Positive
start journey thank alex put togeth,0,Neutral
cant sleep wothout watch tutotri love thank alex,0.5,Positive
anyon march opinion seri whether found use,0,Neutral
see notepad serious write stuff mind blown never took earlier thank free content grate,0.022222222,Positive
appli internship learnt bootcamp,0,Neutral
im shitti trade job injur mani time want continu late take year degre start career econom data analysi,-0.3,Negative
thank free boot campi begin todayi believ begin career data analyst,0.4,Positive
great thank alex,0.8,Positive
thank good bless,0.7,Positive
hey man thank share free bootcamp mean lot learn,0.04375,Positive
omg see cant afford grate,0,Neutral
fininsh watch cours would give letter say finish cours,0,Neutral
thank alex great job,0.8,Positive
thank save,0,Neutral
im start ill come back month,-0.25,Negative
good think peopl dont know earn money automat youtub peopl watch video full length fyi noth neg,0.525,Positive
thank alex start data analyst journey today thru page udemi beginn guid,0,Neutral
thank youfirst time ever skip ad,0,Neutral
thank much free gift god bless real good journey start see end certif,0.7,Positive
start hope ill finish till end begin knowledg databas thank incom video,-0.5,Negative
start sql got frustrat point rememb alex analyst alway recommend newbi im motiv continu thnak much,0.2,Positive
connect sql ssm help,0,Neutral
hope get data analyt experi recent found interest came highli recommend cant wait get start,0,Neutral
thank much,0.2,Positive
thank pray free cours amaz,0.4,Positive
good person thank sir,0.7,Positive
alex alway fear math statist work contract manag manag agenc receiv fund school right work mba organiz manag want concentr data analyt think would help career well help better understand inform gather agenc peopl serv need class data analyt start august look someth would introduc topic help confront fear well succeed thank offer look forward start today rock,0.392857143,Positive
somehow got exactli need,0,Neutral
hi start journey today scratch field new hope understand content becom good data analyst,0.418181818,Positive
start today alreadi excit,0,Neutral
hi alex thank much free inform train video becom data analyst im learn lot help way chang career becom da discov stepbystep easi follow video usual find bit piec sql excel power bi etc youtub wschool etc though alreadi finish onlin cours data scienc ml powerbi udemi still feel lot learn thank much power channel,0.116666667,Positive
im soo happi found thank soo much mr alex,0.2,Positive
wait certif,0,Neutral
alex thank put togeth awesom seri mention free structur organis way greatli appreci thank,0.4,Positive
hello sir came across ill start tomorrow wish luck,-0.5,Negative
thank woah saw thank much,0.2,Positive
would nice one guy promot data analysi actual project start finish use tool recommend everi one learn road map could see everyth work need start learn step dont realli know come togeth im sure would also boost watch time follow like share basic boost channel,0.275,Positive
thank mani bless,0,Neutral
god tier thank go help switch career godbless,0,Neutral
thank start journey,0,Neutral
thank much alex get role data analyt eventu want go data scienc great way get feet wet get entri level posit start new career path happi help broken basic need knowledg get field excit today day,0.106060606,Positive
start next week wish luck,0,Neutral
journey begin thank sir,0,Neutral
pleas downlod project file issu,0,Neutral
realli grate wonder playlist thank much,0.2,Positive
your incred share passion skill other much gratitud,0.0375,Positive
big thank god bless effort,0,Neutral
today im start bootcamp,0,Neutral
thank much,0.2,Positive
thank sir alex great opportun god crown effort,0.8,Positive
begin today believ begin success,0.3,Positive
thank lot,0,Neutral
im studi data analysi hope get better learn thank bootcamp im brazil greet,0.5,Positive
thank im start train immedi,0,Neutral
excit learn thank much make video free alex amaz,0.3,Positive
worri skill ive complet year bachelor degre softwar engin want learn data analyst lot paid cours nobodi guid watch video im start playlist sinc today hope ill understand make skill better,0,Neutral
financi data analysi help need thank,0,Neutral
found playlist defin tri let know goe thank individu want learn without go debt,0,Neutral
hi prior knowledg need commenc data analyt tx advanc,0,Neutral
thank,0,Neutral
start new year bootcamp help start carrier thank alex,0.136363636,Positive
fellow chess lover,0,Neutral
thank,0,Neutral
amaz could found,0,Neutral
thank,0,Neutral
thank lot realli need mentor like,0,Neutral
good sir get start journey thank,0.7,Positive
long take complet whole bootcamp,0.075,Positive
hi alex im new land job relat data analyt chang updat creat complementari cours relat machin learn ai usag advanc thank help materi,0.136363636,Positive
revolution data manag data clean transform modul excel user say goodby endless data clean transform hour latest innov set chang handl data choos modul effortless data clean transform messi data clean action info click advanc featur fix miss data knn regress imput plu tackl typo format effortlessli rapid process handl huge data volum second key highlight fix miss data multipl method includ mean median mode correct format type adjust date format correct boolean valu elimin duplic remov partial exact duplic eas solv typo autocorrect case issu remov extra space univers compat work erpnext system versatil userfriendli transform data achiev second use take day modul partner data integr effici interest contact instal info upcom modul dataclean datatransform excel erpnext innov businessintellig datamanag,0.145277778,Positive
thank help,0,Neutral
thank alex overwhelm inform beco data analyst nowon follow bootcamp sure next data analyst,0.25,Positive
happi found video thank much alex dont job right also dont much money buy onlin cours made free free bootcamp certif that kind thank sooo much,0.326530612,Positive
hi alex im younu bangladesh realli search data analyst cours dont find today see youtub channel think great opportun thank lot,0.8,Positive
alex best,1,Positive
perfect select chapter mayb r tutori would nice thank,0.8,Positive
amaz start journey thank free school,0.4,Positive
thank much make alex share knowledg learn free wonder im thank resourc super excit learn god bless,0.311111111,Positive
love channel thank much mralex freberg,0.35,Positive
hi alex work industri dream young reason choos anoth proffect want come back subject diffrent work experi life plan learn data analyst hope may get work futur sure never heard never learn person actual proffect use free bootcamp learn thank,0.138888889,Positive
hi alex first day gone research land thank alex let start,0.25,Positive
want say thank much amaz video help secur job thank,0.2,Positive
thank great struggl,0.8,Positive
exactli need right,0.285714286,Positive
thank allah made wonder peopl like also learn free thank u,0.4,Positive
thank bootcamp enough get job need learn extra topic,0,Neutral
thank alex much apprici start journey,0.2,Positive
hi alex thank much bootcamp worri look everywher somewher start career data analyt want ask averag mani time usual take finish cours greet albania,-0.025,Negative
gawd thank truli bless,0,Neutral
thank much boot camp alex still though,0.2,Positive
practic say anyon finish bootcamp master good go data analyst job still need take cours that advanc,0.7,Positive
thank im find job data analyst,0,Neutral
thank u soo much im interest becom data analyst scientist came across youtub im go follow bootcamp thank u much,0.2,Positive
thank alex,0,Neutral
thank give newbi much need map warm regard,0.4,Positive
alex tutori base instal sql server manag studio window base system altern us work mac would love abl instal mysql follow along manag studio suitabl mac thought possibl get window base system tight advic regard mac setup highli appreci,-0.415714286,Negative
hello alex analyst thank preciou guid time would pleas tell etl project channel learn,0,Neutral
thank much cant thank enough,0.1,Positive
cant believ ive found today path becom data analyst profession person free boothcamp thank much put hard work help us fellow futur data analystsim sure go video let disappoint,0.202083333,Positive
amaz im tri transit data engin data analyst like role data analyst better im luck find job lack work experi specif tool great put resum learn applic skill well thank much alex,0.5,Positive
thank soo much guy well watch scale great height im next want data analyst march,0.333333333,Positive
wish saw paid k univers simultan doubl learn guess thank,0,Neutral
hey brother thank help,0,Neutral
thank sir give us opportun learn valuabl concept charter account finalist pakistan go take cours get certif make portfolio stronger love play data think help financi model cant explain thank sir alex,0.5,Positive
need learn becom data analyst choos watch sql python,0,Neutral
thank mr alex,0,Neutral
thank yt bootcamp switch bootcamp better coursera learn free,0.45,Positive
wan na get start data analyt bit confus start bootcamp know get start shall tri googl data analyt cours directli previou experi,-0.2,Negative
graduat decemeb math degre emphasi secondari teach realiz didnt want pursu teach ive look data analyst alway hesit think couldnt video motiv final stop procrastin thank wonder resourc im excit start new journey anyon read comment believ start,0.068181818,Positive
hi alex doubt bother enough data analyt purchas paid coursei enough get job internship good compani wait repli,0.233333333,Positive
guess skip ad help creat content free,0.4,Positive
thank much alex awesom appreci,0.2,Positive
lucki get scholarship data analyst bootcamp cant wait finish get diploma focu learn alex,0,Neutral
hi alex knew sinc learn lynda linkedin learn welcom youtub,0,Neutral
found channel must sign need data analyt cours plu free omgthank,0.4,Positive
thank boot camp mr alex thank much help,0.2,Positive
bachelor master phd three postdoc im readi let go,0,Neutral
one peopl affect game industri lay off think switch career data analyst saw tiktok decid tri thank,-0.4,Negative
bad remot area africai get clear alexfor real world becom villag like mile way u,-0.133333333,Negative
understand took place time ago tri link respons pl still benefit like said extrem interest thank,0,Neutral
hello alex thank u much ur great work saw free data analyst boot camp extrem interest abl log,0.6,Positive
im start journey updat time time also alreadi finish excel playlist saw playlist proceed updat finish sql basic idk think use sql excel brain feel fatigu mayb type sql need practic understand better updat need finish advanc sql video found sql program languag mysql databas thought thing,0.25,Positive
thank alex realli excit free bootcamp thank share knowledg great content,0.6,Positive
need beginn knowledg tech learn data analyst,0,Neutral
like employ would want hire resum right,0.285714286,Positive
gift univers thank,0,Neutral
dive da bootcamp awesom thank alex,0,Neutral
inform python inform date,0,Neutral
thank,0,Neutral
new thank give free,0.268181818,Positive
hi alex realli grate work,0,Neutral
go start data analyst bootcamp today thank provid free great learn experi everybodi,0.6,Positive
great man thank alot,0.8,Positive
ty much alex wish u best,0.6,Positive
hi ive ask top need skill want becom data analyst,0.5,Positive
love bootcamp idea,0.5,Positive
thank much alex god bless amaz,0.2,Positive
first day toward journey becom data analyst,0.25,Positive
dear sir becom junior level data analyt complet boot camp,0,Neutral
thank alex lost job need train boost resum bless,0,Neutral
im transit data analyst role glad found thank,0.5,Positive
thank much,0.2,Positive
thank much sir thank bless grate gon na start right away,0.242857143,Positive
hello mr alex playlist enough start job power bi analyst pleas repli repli make impact,0,Neutral
hi follow ticktok today go start free cours actual look boot camp site lot rumbl jumbl stuff found beginn confus pose progress quir,0.2,Positive
thank thanksthanksthanksthanksthank made life thnx,0,Neutral
thank alex,0,Neutral
thank creat bootcamp share knowledg alex greatli appreci,0,Neutral
thank,0,Neutral
thank wonder content alex thank,0,Neutral
complet non background switch career age doubt never late dont know noth comput except basic stuffthi look amaz thank,0.075,Positive
hey alex thank share,0,Neutral
thank u much sir,0.2,Positive
wow marvel,0.1,Positive
would like becom data analyst career journey dont much money learn advanc data analyst honestli im excit grate learn especi free thank sir,0.3,Positive
alex south africa yr structur learn video boot camp like day much take go studi pleas dont lose confid way,0.2,Positive
start today wish luck,0,Neutral
im take bold step today kickstart amaz professiongoodluck everyon pass wonder baton thank alextheanalyst,0.333333333,Positive
get googl cert also first,0.25,Positive
least give like free cours,0.05,Positive
broi love real thank,0.35,Positive
thank much friend recommend video minut ago love alreadi see u last video done go hope soonest,0.233333333,Positive
commun within bootcamp go help video content need,0,Neutral
thank alex good start someon like,0.7,Positive
hi alex thank amaz bootcamp man like anoth bro wrote god sent learn everi singl video ill finish ill back say hello comun im sure itll awesom first place see end entir cours also peopl wait messag finish bootcamp like help find job data analyst im sure incred amaz ye land new job thank alex see ill finish bootcamp cheer argentina world,-0.014204545,Negative
thank much alex bootcamp,0.2,Positive
hi anyon use lenovo yoga g abl instal ssm laptop support ssm altern would realli appreci help,0,Neutral
rea data analyst well good human pleas tell get certif bootcamp add resum found content great,0.5,Positive
appreci enorm level see doctor stomach pain caus abl work tri year cant seem find anyth told may mental health issu ive look job home support cost live far everyth look cost much tri get might way situat thank,0.084090909,Positive
awesom mechan engin look get data analyt look like came right place,0.285714286,Positive
hi alex hope get thing want life your give thousand want video data analysi would continu scari space,0,Neutral
woooowthank much bootcamp expens situat one day hope return favor rememb hello dominican republ,0.2,Positive
alex thank amass bootcamp,0,Neutral
graduat comput scienc bachelor last year know start data analyt career googl found one best da seri thank alex bring us,0.5,Positive
thank alex free comprehens modul,0.4,Positive
great alex implement project interact dashboard bootcamp,0.8,Positive
watch nova documentari astronomi end check astronom demand turn data analyst end,0,Neutral
lfg thank pay boot camp local uc,0,Neutral
pl im new access da bootcamp,0.136363636,Positive
thank make wisdom avail us appreci generos wisdom,0,Neutral
thank much effort,0.2,Positive
thank much alex help build career,0.2,Positive
awesom bro journey coupl month took one master data scienc boot camp spain one teacher recommend channel great thank tool knowledg provid,0.8,Positive
hey alex liter world thank,0,Neutral
thank alex angel,0,Neutral
thank alex thu bootcamp love,0.5,Positive
thank firend your best,1,Positive
glad see start watch eager complet hope learn lot seri thank much new subscrib ph,0.318181818,Positive
great job thank much qualiti content free,0.466666667,Positive
alright go,0,Neutral
saw lot data analyst recommend us watch video want jumpstart career becom data analyst today lol ill start repli comment ill push one thank cross finger,-0.05,Negative
find certif complet bootcamp,0,Neutral
give poor lend god great help qualiti content free,0.266666667,Positive
hello alex first thank much creat cours especi free think your lifesav lot folk includ ive cours coupl day alreadi question understand your teach work sql server studio wherea major peopl work mysql what differ what use often would need learn use mysql well thank advanc,0.228125,Positive
becom data analyst without code knowledg pleas answer,0,Neutral
thank alex watch ad token gratitud aspir data analyst godspe us,0,Neutral
god would bless us pl cloud platform like awsgcp azura bootcamp,0,Neutral
hi alex super super love videoi ran back subscrib wach becom data analyt thank connect linkedin,0.291666667,Positive
ive look structur data analyt boot camp thank alex,0,Neutral
follow train use mac book,0,Neutral
thank u much sir salam indonesia tri learn ask question materi certif step,0.2,Positive
one question put ml model product made mani exercis last stand realli work real life thnk advic,0.1,Positive
support watch add thank tri get man paid spend time watch add,0,Neutral
awesom look forward bootcamp expand skill thank alex,0,Neutral
hey alex subscrib taken bootcamp youtub land job show certif recruit,0,Neutral
amaz person alex thank much realli appreci,0.2,Positive
go start today sure ill thank u end n surli share expiri,0,Neutral
thank much bro,0.2,Positive
thank alex could pleas creat video instal sql new version,0.136363636,Positive
love im year old colleg dropout recent discov tech world may data analyt line best interest found day ago truli solidifi choic im excit start today,0.4,Positive
make sure interact ad give lil back pl awesom thank,0.25,Positive
hi need order sign start watch video one pleas tell thank,0,Neutral
hey alex pleas make complet playlist cours busi analyt cours scratch advanc start new career non profession,0.136363636,Positive
wow priceless,0.55,Positive
im realli interest data analyst im softwar develop student univers hope bootcamp help get start data analyst,0,Neutral
pl someon help start base data analyst data scienc thank need help,-0.8,Negative
start bootcamp today juli th gon na tri minut hour day ad minut seri come bit hour content hope get ton great knowledg bootcamp hope good job end year either financi analyst data analyst thank alex,0.75,Positive
awww thank,0.4,Positive
thank free content watch philippin im total zero knowhow data analyst look forward studi learn channel,0.2,Positive
hi alex give hope cousin refer im glad didquick question im complet beginn say learn need simpli bootcamp complet data analyst bootcamp suggest take coursera googl data analyst certif cours remain exactli recommend path finish data analyst bootcamp thank much,0.35,Positive
skip ad thing give back right,0.142857143,Positive
thank sooooo much take time creat data analyst boot camp thank enough help get addit train ive look,0.1,Positive
googl career certif data analyt worth time money im new world im tri figur career move labor factori,0.218181818,Positive
thank lot follow video end,0,Neutral
wish could hug right thank much,0.242857143,Positive
thank alex use help everi day sinc start learn data analyst one main reason love start field still im beginn bootcamp help much,0.288888889,Positive
thank alex great job,0.8,Positive
hi alex want ask question bootcamp enough get job data analyst sequenc seri roadmap guid cover aspect topic becam data analyst,0,Neutral
thank,0,Neutral
thank much share knowledg content even better paid cours thank everi much,0.3,Positive
alex saint help third world countri poor peopl free knowledg god bless may continu kind heart,0.15,Positive
sir alex thank much,0.2,Positive
thank bootcamp,0,Neutral
awesom ive tri find skillset need data analyst get train godsend thank alex,0,Neutral
mralex good see meaning video got one doubt go video go bootcamp video land data analyst job pleas confirm,0.7,Positive
new guy come around hope aint late parti zero tech background knowledg around stuff journey start,-0.081818182,Negative
benefit follow video good way thank much im excit chang career path like major thank way explain,0.320833333,Positive
crack,0,Neutral
god bless alex wonder opportun,0,Neutral
thank alex,0,Neutral
hi alex realli necessari learn excel know python want improv think essenti find job thank,0,Neutral
need know code da,0,Neutral
start journey today done back comment share experi,0,Neutral
goat thank,0,Neutral
excit start thank much hard work,-0.291666667,Negative
hello alex youv done marvel work growth human thank greatli question know bootcamp cover busi analyst pleas im great need,0.4,Positive
make commit start playlist tomorrow back coupl month give u guy feedback prompt forget good luck everyon thank alex never walk alon,0.35,Positive
hook today keep updat progress comment section great world abl pay bootcamp year ago super thanksss india peopl need,0.566666667,Positive
hi alexactu complet first mileston sql realli help full said actual put resum still complet finish cours month end thank,0.2,Positive
pleas dont remov sir love sir thank much,0.35,Positive
sir kind thank expect bless,0.6,Positive
im excit follow path sinc im doctor current want get first step data analyt thank much alex,0.15,Positive
thank alex wait long time learn data analyst found proper guidanc amaz person give strong posit vibe learn enthusiasm realli thank support,0.127777778,Positive
thank thank thank good bless,0.7,Positive
thank fantast initi realli care peopl struggl start new career data analysi alway guid success incred person peopl cant thank enough cours,0.145454545,Positive
someon give much free made heaven god bless alex your great inspir,0.6,Positive
paid bootcamp learn lot still dont feel readi career im excit give tri,0,Neutral
hello hope well question obtain certif need go video entireti work good knowledg excel day day job want learn area pleas advis thank,0.7,Positive
answer prayer thank alex im look forward go bootcamp,0,Neutral
hey man start thank everyon video day practis make go long way keep good workatb,0.325,Positive
hello alex ive follow start journey becom data analyst kinda hard time plu countri couldnt actual use visa card access afford paid cours found realli hard find good free cours especi good place practic saw post idea happi almost shed tear im deepli thank hope success happi world thank thank soooo much cant say enough,0.190740741,Positive
yess thank will hope show job search without certifi ima see thank,0,Neutral
thank cours philippin,0,Neutral
like smile face cheer,0.3,Positive
take googl certif watch cours,0,Neutral
okay choos power bi start dont idea use,0.5,Positive
thank,0,Neutral
like prayer got answer wale youtub distant mentor couldnt complet audit session edx still consid afford anoth analyt certif cours wouldnt disappoint thank bunch,-0.1,Negative
anyon still read tri follow everi step alex made get error messag operand data type nvarchar invalid divid oper tri totaldeathstotalcas anyon get similar issu thanj alex cours beginn super help,0.166666667,Positive
thank much truli made excit learn go divers librarian background look chang industri im hope databas manag skill come handi,0.2,Positive
oh thank start free trial googl data certif figur made lol hope program help start new career,0.445454545,Positive
your rare gem thank much,0.25,Positive
sir alex thank,0,Neutral
thank algorithm bring man life,0,Neutral
thank effort help,0,Neutral
one get certif finish bootcamp,0,Neutral
hi alex wonder thing put togeth inclin right tri hope allow land job data analyst know lot stuff python panda polar sql ms excel web scrap use beauti soup thru self pace learn onlin understand project begin write resum thank god will earn certif,0.101190476,Positive
love brother,0.5,Positive
human alex analyst saint thank sir,0,Neutral
thank bro hope get bless life thank thank,0,Neutral
thank much sir,0.2,Positive
see beauti wish learn thu ill take thank alex,-0.5,Negative
alex thank much make amaz cours free share experi us without cost,0.3,Positive
certifi pmp make industri chang look way get familiar data analyt cours honestli got confus much thank amaz act appreci,0.2875,Positive
promis tarnish good name,0.7,Positive
what typic amount time start finish littl knowledg,0,Neutral
never lack good thinggod bless,0.7,Positive
thank,0,Neutral
better playlist googl analyt one im pretti new want get data analyt look gener overview consid time cost practic skill learnt experi cours,0.318181818,Positive
today date march th,0,Neutral
dont know long take,-0.05,Negative
keep touch progress,0,Neutral
dont know anyth absolut anyth data analyst prube bootcamp worth,0.3,Positive
want feed proud self,0.8,Positive
hi alex name juan hernandez first want thank shouch great opportun peopl like want go ahead life speak educ way dont found,0.525,Positive
would never tarnish good name alex gon na go put hard work,0.204166667,Positive
start journey hope learn stuff data analysi recommend channel friend,0,Neutral
thank alex help,0,Neutral
interest access compil way,0,Neutral
thank alex make free bootcamp go start playlist today becom data analyst coupl month,0.4,Positive
brilliant truli winwin,0.9,Positive
incred look data analyt program came across well contact two howev im wari bootcamp honest expens discov channel find realli benefici thank much alex,0.4,Positive
thank alex wonda work amaz thank share free,0.4,Positive
real cool thank share wonder knowledg gener,0.525,Positive
awwwwh thank alex im excit start alreadi,0,Neutral
absolut begin,0,Neutral
thank much alex creat opportun us much appreci,0.2,Positive
thank,0,Neutral
thank muchbless help commun peopl short need support bless,0,Neutral
amaz thank brother,0,Neutral
mad love south africa one beacon empower thank inform,-0.0625,Negative
noth free realli want learn data analyst realli need job current unemploy,0.2,Positive
thank much creat your realli make way peopl like continu grow ever grow field make differ live oddli enough finish boot camp long ago want absorb much field,0.097272727,Positive
thank thank im excit start bootcamp,0,Neutral
thank alex realli help us becom data analyst thank much,0.2,Positive
thank alexx bless come subscrib,0,Neutral
thank alex god bless,0,Neutral
unbeliv match effort free thank much,0.3,Positive
make sens excel first sequel second bi tool third python last,0.0625,Positive
thank india,0,Neutral
feel like cri co made easi us thank much,0.2,Positive
thank much realli appreci lot god sent pleas continu great work im year old south african didnt know start found,0.275,Positive
hi alex still recommend complet coursera udemi cours along bootcamp bootcamp enough get start thank,0,Neutral
thank,0,Neutral
alex thank content im sure error encount tri import data said microsoftaceoledb provid regist local machin systemdata experienc issu also tri solut offer system kept throw error messag found video check microsoft forum solv problem anyon issu vid help lot thank video alex amaz,0.25,Positive
almost join bootcamp k id rather give half bootcamp lol,0.316666667,Positive
awesom thank ive never made onlin portfolio suggest save work post,0,Neutral
inde bless thank million,0,Neutral
thank much alex,0.2,Positive
hi alex thank great effort content want know use postgr instead ms sql use thank,0.8,Positive
legend thank spread knowledg free,0.4,Positive
thank much come back later post go,0.066666667,Positive
thank alex salut share knowledg philippin,0,Neutral
thank much alex sir give us kind opportun,0.4,Positive
thank alex much appreci,0.2,Positive
number cours lot doubt help provid plateform person like ask question get answer soon possibl,0,Neutral
glad found cs major student sudddnli want walk data analyst path,0.28125,Positive
jump without knowledg complet someth like googl da certif cours first,0.25,Positive
thank initi current enrol googl data analyt certif coursera bootcamp sure go benefici enhanc technic skill upcom capston project,0.25,Positive
thank alex your best,1,Positive
hope learn teachingi wan na data analystnd video watch video data analyst,-0.2,Negative
wow thank sir advancegod bless,0.1,Positive
hi alex firstli thank content provid given vision career lack sinc finish univers current unemploy recent econom graduat look becom data analyst finish uni got job keep busi whilst appli data analyst role howev struggl find time quit job two month ago attend python boot camp provid univers believ would give relev experi success applic far still look work whilst work sql video provid plan complet boot camp offer worri gap cv process see cv gap issu consid job justifi consid situat outlin thank excel content would realli appreci advic someth struggl moment,0.1,Positive
oh thank sir start,0,Neutral
thank much alex help us save lot money god bless may help peopl,0.2,Positive
h podcast slllayyyyyi im fan im definit stick w tutori end mark word alex peac love,0.5,Positive
sure youtub god put feed im grate project file familiaris kaggl etc,0.5,Positive
liter person follow look ad click ad appreci,0,Neutral
hilari thank super excit get start learn,0.333333333,Positive
thank much may god bless,0.2,Positive
suggest improv commun peopl finish cours send email notif either send share link hesh print certif forward certif individu sure interest know peopl taken time go whole program also reduc risk dishonesti act,0.35,Positive
tq soo much alexy great job help lot beginnersgod bless,0.5,Positive
wonder god great make come across link linkedin,0.8,Positive
love work data made birthday man thank man,0.5,Positive
need help build portfolio anybodi els could help,0,Neutral
thank alexalot love pakistan,0.5,Positive
thank great gestur,0.8,Positive
thank alex im excit cours,0,Neutral
great person leav countri girl allow go school univers video bless miser day thank lot,0.8,Positive
thankyou much help,0.2,Positive
first comment sinc youtub account creat year ago stumbl upon video rough day realli doubt stuck rut life ive graduat colleg realli slack experi never felt like learn anyth data analyt alway piqu interest never gather courag tri one paid cours experi sql python colleg mainli forgot ive learn utmost best finish free cours regular pace fashion keep progress track take time slowli mayb spend hour learn watch video everday everi day simpli hate grind work fast possibl start date end date mileston first sql data portfolio project done took coupl day simpli lot troubl actual import excel file took coupl hour simpli tech issu wasnt sure eventu finish take fair share break whenev felt slack data clean done excel project dataset done tablueau project done amazon web scrape done took small break updat resum done,0.193589744,Positive
got joke begin glad know rawest person ever met believ make data analyst hope data scientist someday,0.5,Positive
omg thank much im go boot camp start today,0.2,Positive
hi alex first want say appreci content creat gener allow peopl access free learn much video done project keep hit wall dont know get past dont want quit wonder could point direct place could get oneonon mentorship appli skill data analyst thank everyth alreadi commun,0.14,Positive
hi definit go complet bootcamp fromm india tell land us job,0,Neutral
thank alex,0,Neutral
thank alex realli appreci effort contribut look forward finish bootcamp,0,Neutral
alex thank much cant imagin differ make life deep thank,0.1,Positive
thank bro give man fish eat day teach man fish eat rest life,0,Neutral
bootcamp good would make entri level job readi anyon who enrol your feedback would pretti much appreci thank,0.45,Positive
